title,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Avengers: Infinity War,300000000,2052415039,149,204.1534,8.236,30594,True,Joe Russo,Robert Downey Jr.,1752415039,0.8538307338918305,Marvel Studios,Adventure,Action,Science Fiction
Spider-Man: Homecoming,175000000,880166924,133,172.1237,7.331,22236,True,Jon Watts,Tom Holland,705166924,0.8011740782024661,Marvel Studios,Action,Adventure,Science Fiction
The Suicide Squad,185000000,168717425,132,181.7728,7.486,8922,True,James Gunn,Margot Robbie,-16282575,-0.09650796294455063,DC Films,Action,Comedy,Adventure
Black Panther,200000000,1349926083,135,175.7277,7.373,22587,True,Ryan Coogler,Chadwick Boseman,1149926083,0.8518437398027519,Marvel Studios,Action,Adventure,Science Fiction
Beauty and the Beast,160000000,1266115964,129,173.0665,6.972,15647,False,Bill Condon,Emma Watson,1106115964,0.8736292689221633,Walt Disney Pictures,Family,Fantasy,Romance
Moonlight,4000000,65046687,111,131.7603,7.4,7188,False,Barry Jenkins,Trevante Rhodes,61046687,0.9385057074467144,A24,Drama,,
Lilo & Stitch,80000000,273144151,85,125.6741,7.6,6589,True,Chris Sanders,Daveigh Chase,193144151,0.7071143580885245,Walt Disney Pictures,Animation,Family,Comedy
Wonder Woman,149000000,823970682,141,133.4968,7.217,20247,True,Patty Jenkins,Gal Gadot,674970682,0.819168323272939,Atlas Entertainment,Action,Adventure,Fantasy
Kong: Skull Island,185000000,566652812,118,145.5577,6.545,10664,False,Jordan Vogt-Roberts,Tom Hiddleston,381652812,0.6735214295557047,Legendary Pictures,Action,Adventure,Fantasy
Star Wars: The Last Jedi,200000000,1332698830,152,118.1273,6.776,15629,True,Rian Johnson,Mark Hamill,1132698830,0.849928584389918,Lucasfilm Ltd.,Adventure,Action,Science Fiction
Wonder Woman 1984,200000000,169601036,151,153.4039,6.4,8642,True,Patty Jenkins,Gal Gadot,-30398964,-0.17923807965418326,Warner Bros. Pictures,Action,Adventure,Fantasy
Black Widow,200000000,379751131,134,120.4967,7.2,10574,False,Cate Shortland,Scarlett Johansson,179751131,0.4733392907261677,Marvel Studios,Action,Adventure,Science Fiction
Avengers: Endgame,356000000,2799439100,181,120.3997,8.239,26398,True,Anthony Russo,Robert Downey Jr.,2443439100,0.8728316683152707,Marvel Studios,Adventure,Science Fiction,Action
Moana 2,150000000,1059242164,100,96.9766,7.1,2435,True,David G. Derrick Jr.,Auliʻi Cravalho,909242164,0.8583893229537264,Walt Disney Pictures,Animation,Adventure,Family
Jojo Rabbit,14000000,82468705,108,96.3984,8.006,9823,False,Taika Waititi,Roman Griffin Davis,68468705,0.8302386341582544,Fox Searchlight Pictures,Comedy,War,Drama
Ready or Not,6000000,57600000,95,132.2345,7.033,4803,True,Matt Bettinelli-Olpin,Samara Weaving,51600000,0.8958333333333334,Mythology Entertainment,Horror,Comedy,
Baywatch,69000000,177900000,116,104.2192,6.1,8196,False,Seth Gordon,Dwayne Johnson,108900000,0.612141652613828,Uncharted,Comedy,Action,Crime
Moana 2,150000000,1059242164,100,96.9766,7.1,2435,True,David G. Derrick Jr.,Auliʻi Cravalho,909242164,0.8583893229537264,Walt Disney Pictures,Animation,Adventure,Family
Jojo Rabbit,14000000,82468705,108,96.3984,8.006,9823,False,Taika Waititi,Roman Griffin Davis,68468705,0.8302386341582544,Fox Searchlight Pictures,Comedy,War,Drama
Captain Marvel,152000000,1131416446,124,95.9994,6.801,16069,True,Ryan Fleck,Brie Larson,979416446,0.865655125893406,Marvel Studios,Action,Adventure,Science Fiction
Alien: Covenant,97000000,240891763,122,93.8486,6.2,8900,True,Ridley Scott,Michael Fassbender,143891763,0.5973295276185927,20th Century Fox,Science Fiction,Horror,Thriller
The Meg,150000000,530517320,113,93.5249,6.2,7827,True,Jon Turteltaub,Jason Statham,380517320,0.7172571104747344,Apelles Entertainment,Action,Science Fiction,Horror
Logan,97000000,619021436,137,89.671,7.8,19635,True,James Mangold,Hugh Jackman,522021436,0.8433010646177365,Hutch Parker Entertainment,Action,Drama,Science Fiction
Thor: Ragnarok,180000000,855301806,131,84.327,7.6,21155,True,Taika Waititi,Chris Hemsworth,675301806,0.7895479715612806,Marvel Studios,Action,Adventure,Science Fiction
Guardians of the Galaxy Vol. 2,200000000,863756051,137,79.3364,7.612,22003,True,James Gunn,Chris Pratt,663756051,0.7684531416382517,Marvel Studios,Science Fiction,Adventure,Action
Dark Phoenix,200000000,252442974,114,78.76,6.0,6689,True,Simon Kinberg,Sophie Turner,52442974,0.20774186410907994,Genre Films,Science Fiction,Action,Adventure
Annihilation,40000000,43070915,115,77.4272,6.427,8862,False,Alex Garland,Natalie Portman,3070915,0.0712990425209216,Paramount Pictures,Science Fiction,Horror,
Blade Runner 2049,150000000,259239658,164,74.9478,7.6,14160,True,Denis Villeneuve,Ryan Gosling,109239658,0.4213848253109484,Alcon Entertainment,Science Fiction,Drama,
Infinity Pool,4500000,5078400,118,73.1512,6.054,877,False,Brandon Cronenberg,Alexander Skarsgård,578400,0.11389413988657845,Topic Studios,Horror,Science Fiction,
xXx,70000000,277448382,124,70.8623,5.943,4429,True,Rob Cohen,Vin Diesel,207448382,0.7477008173722203,Columbia Pictures,Action,Adventure,Thriller
Anora,6000000,56286295,139,70.2475,7.057,2246,False,Sean Baker,Mikey Madison,50286295,0.8934021150264021,Cre Film,Drama,Comedy,Romance
Battle of the Sexes,25000000,12638526,121,69.2719,6.8,1881,False,Valerie Faris,Emma Stone,-12361474,-0.9780787727935996,Fox Searchlight Pictures,Drama,Comedy,History
Mufasa: The Lion King,200000000,722631756,118,68.0272,7.4,2177,True,Barry Jenkins,Aaron Pierre,522631756,0.7232338624210697,Walt Disney Pictures,Adventure,Family,Animation
Sonic the Hedgehog 3,122000000,492162604,110,72.0915,7.712,2662,True,Jeff Fowler,Jim Carrey,370162604,0.7521144454933029,Paramount Pictures,Action,Science Fiction,Comedy
Star Wars: The Rise of Skywalker,416000000,1074144248,142,63.6179,6.296,10207,True,J.J. Abrams,Carrie Fisher,658144248,0.6127149581868822,Lucasfilm Ltd.,Adventure,Action,Science Fiction
War for the Planet of the Apes,150000000,490719763,140,62.6116,7.207,9263,True,Matt Reeves,Andy Serkis,340719763,0.6943265559899612,20th Century Fox,Drama,Science Fiction,War
The Dark Tower,60000000,113231078,95,60.7493,5.778,5250,False,Nikolaj Arcel,Idris Elba,53231078,0.4701101406099834,Columbia Pictures,Fantasy,Action,Science Fiction
No Time to Die,250000000,774153024,163,59.1961,7.4,6536,True,Cary Joji Fukunaga,Daniel Craig,524153024,0.6770664296985295,EON Productions,Action,Thriller,Adventure
Mission: Impossible - Dead Reckoning Part One,291000000,571125435,164,51.9994,7.532,4341,True,Christopher McQuarrie,Tom Cruise,280125435,0.49047970521572026,Paramount Pictures,Action,Adventure,Thriller
The Holdovers,13000000,42513270,133,50.6412,7.679,2009,False,Alexander Payne,Paul Giamatti,29513270,0.6942131245138282,Miramax,Comedy,Drama,
Venom: The Last Dance,120000000,478103649,109,49.8561,6.729,3449,True,Kelly Marcel,Tom Hardy,358103649,0.7490083996409741,Columbia Pictures,Action,Science Fiction,Adventure
Glass,20000000,246999039,129,48.1588,6.7,8670,False,M. Night Shyamalan,James McAvoy,226999039,0.9190280250442594,Blinding Edge Pictures,Thriller,Drama,Science Fiction
Despicable Me 4,100000000,969280910,94,48.1549,7.0,2790,True,Chris Renaud,Steve Carell,869280910,0.8968307340335424,Universal Pictures,Animation,Family,Comedy
Manchester by the Sea,9000000,79000000,138,47.3568,7.546,6015,False,Kenneth Lonergan,Casey Affleck,70000000,0.8860759493670886,Pearl Street Films,Drama,,
Jurassic World: Fallen Kingdom,170000000,1310466296,129,46.9947,6.538,12077,True,J.A. Bayona,Chris Pratt,1140466296,0.8702751833306211,Amblin Entertainment,Action,Adventure,Science Fiction
Deadpool & Wolverine,200000000,1338073645,128,46.9174,7.595,7322,True,Shawn Levy,Ryan Reynolds,1138073645,0.8505313958261244,Marvel Studios,Action,Comedy,Science Fiction
Sound of Freedom,14500000,250600000,131,45.696,7.991,2549,False,Alejandro Monteverde,Jim Caviezel,236100000,0.9421388667198723,Santa Fe Films,Action,Drama,
The Wild Robot,78000000,331982078,102,44.8938,8.314,5006,True,Chris Sanders,Lupita Nyong'o,253982078,0.765047557778104,DreamWorks Animation,Animation,Science Fiction,Family
Doctor Strange in the Multiverse of Madness,200000000,955775804,126,43.0849,7.259,9566,True,Sam Raimi,Benedict Cumberbatch,755775804,0.790745905930048,Marvel Studios,Fantasy,Action,Adventure
Final Destination,23000000,112880294,98,42.371,6.619,6045,True,James Wong,Devon Sawa,89880294,0.7962443294132455,Hard Eight Pictures,Horror,,
The Substance,17500000,76506196,141,41.5304,7.1,4702,False,Coralie Fargeat,Demi Moore,59006196,0.7712603564814541,Working Title Films,Horror,Science Fiction,
Harry Potter and the Philosopher's Stone,125000000,976475550,152,41.2339,7.901,28254,True,Chris Columbus,Daniel Radcliffe,851475550,0.871988602274783,Warner Bros. Pictures,Adventure,Fantasy,
Inside Out 2,200000000,1698863816,97,40.6451,7.554,5894,True,Kelsey Mann,Amy Poehler,1498863816,0.8822742599398562,Walt Disney Pictures,Animation,Adventure,Comedy
Ghost in the Shell,110000000,169801921,107,40.4836,6.092,8168,False,Rupert Sanders,Scarlett Johansson,59801921,0.35218636307418455,Weying Galaxy Entertainment,Science Fiction,Drama,Action
Kung Fu Panda 4,80000000,548040835,94,40.1545,7.1,3099,True,Mike Mitchell,Jack Black,468040835,0.8540254760395729,DreamWorks Animation,Animation,Family,Action
Deadpool 2,110000000,785896632,120,107.7309,7.5,18397,True,David Leitch,Ryan Reynolds,675896632,0.8600324832541082,Maximum Effort,Action,Comedy,Adventure
Final Destination 5,40000000,157887643,91,39.5603,6.1,3669,True,Steven Quale,Nicholas D'Agosto,117887643,0.7466552844797361,Parallel Zide,Horror,Mystery,
John Wick: Chapter 3 - Parabellum,55000000,326709727,131,39.3441,7.441,11003,True,Chad Stahelski,Keanu Reeves,271709727,0.8316548438730751,Thunder Road,Action,Thriller,Crime
How to Train Your Dragon,165000000,494879471,98,39.3309,7.842,13442,True,Dean DeBlois,Jay Baruchel,329879471,0.6665854825891535,DreamWorks Animation,Fantasy,Adventure,Animation
Gladiator II,310000000,462180717,148,38.3291,6.725,3461,True,Ridley Scott,Paul Mescal,152180717,0.3292666946120126,Paramount Pictures,Action,Adventure,Drama
Kraven the Hunter,120000000,59184643,127,37.9638,6.6,1732,False,J.C. Chandor,Aaron Taylor-Johnson,-60815357,-1.0275529920827604,Columbia Pictures,Action,Adventure,Thriller
Fantastic Beasts: The Crimes of Grindelwald,200000000,654900000,134,37.4727,6.845,11061,True,David Yates,Eddie Redmayne,454900000,0.6946098641013895,Warner Bros. Pictures,Fantasy,Adventure,
Interstellar,165000000,746606706,169,37.3481,8.455,37231,False,Christopher Nolan,Matthew McConaughey,581606706,0.7790001098650726,Legendary Pictures,Adventure,Drama,Science Fiction
Hacksaw Ridge,40000000,175302354,139,35.6155,8.193,14121,False,Mel Gibson,Andrew Garfield,135302354,0.7718228016493149,Summit Entertainment,Drama,History,War
Nocturnal Animals,22500000,29300000,117,34.3457,7.4,7948,False,Tom Ford,Amy Adams,6800000,0.23208191126279865,Fade to Black,Drama,Thriller,
John Wick: Chapter 4,100000000,440157245,170,33.7158,7.725,7112,True,Chad Stahelski,Keanu Reeves,340157245,0.7728084653019854,Thunder Road,Action,Thriller,Crime
Mission: Impossible - Fallout,178000000,791658205,147,33.5945,7.4,8528,True,Christopher McQuarrie,Tom Cruise,613658205,0.7751554915040639,Paramount Pictures,Action,Adventure,
Oppenheimer,100000000,952000000,181,33.5129,8.057,10297,False,Christopher Nolan,Cillian Murphy,852000000,0.8949579831932774,Syncopy,Drama,History,
The Disaster Artist,10000000,29820616,104,33.3632,7.1,3588,False,James Franco,Dave Franco,19820616,0.6646615214118984,New Line Cinema,Comedy,Drama,
Bone Tomahawk,1800000,475846,133,31.7175,6.9,2321,False,S. Craig Zahler,Kurt Russell,-1324154,-2.782736431534572,Caliber Media Company,Western,Horror,Drama
Oppenheimer,100000000,952000000,181,33.5129,8.057,10297,False,Christopher Nolan,Cillian Murphy,852000000,0.8949579831932774,Syncopy,Drama,History,
The Disaster Artist,10000000,29820616,104,33.3632,7.1,3588,False,James Franco,Dave Franco,19820616,0.6646615214118984,New Line Cinema,Comedy,Drama,
Bone Tomahawk,1800000,475846,133,31.7175,6.9,2321,False,S. Craig Zahler,Kurt Russell,-1324154,-2.782736431534572,Caliber Media Company,Western,Horror,Drama
How to Train Your Dragon 2,145000000,621537519,102,31.1006,7.7,9838,True,Dean DeBlois,Jay Baruchel,476537519,0.7667075670133439,DreamWorks Animation,Fantasy,Action,Adventure
Shrek,60000000,488628188,90,30.8121,7.752,17715,True,Andrew Adamson,Mike Myers,428628188,0.8772072478143648,Pacific Data Images,Animation,Comedy,Fantasy
Alien: Romulus,80000000,350865342,119,30.5095,7.194,3687,True,Fede Álvarez,Cailee Spaeny,270865342,0.7719922989714955,20th Century Studios,Horror,Science Fiction,
The Avengers,220000000,1518815515,143,29.6851,7.757,31977,True,Joss Whedon,Robert Downey Jr.,1298815515,0.855150281369097,Marvel Studios,Science Fiction,Action,Adventure
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,745013115,143,29.5791,7.132,10934,True,Andrew Adamson,William Moseley,565013115,0.7583935149920146,Walt Disney Pictures,Adventure,Family,Fantasy
Red One,250000000,185700759,124,29.245,7.048,2533,False,Jake Kasdan,Dwayne Johnson,-64299241,-0.3462519019644933,Seven Bucks Productions,Action,Comedy,Fantasy
Harry Potter and the Prisoner of Azkaban,130000000,789804554,141,29.2041,8.011,22134,True,Alfonso Cuarón,Daniel Radcliffe,659804554,0.8354023165077876,Warner Bros. Pictures,Adventure,Fantasy,
Harry Potter and the Chamber of Secrets,100000000,876688482,161,29.1012,7.708,22558,True,Chris Columbus,Daniel Radcliffe,776688482,0.8859343973906572,Warner Bros. Pictures,Adventure,Fantasy,
Final Destination 2,26000000,90941129,90,29.0394,6.28,4360,True,David R. Ellis,Ali Larter,64941129,0.7141007563255565,New Line Cinema,Horror,Mystery,
Power Rangers,105000000,142300000,124,28.9015,6.256,4468,False,Dean Israelite,Dacre Montgomery,37300000,0.26212227687983136,Lionsgate,Action,Adventure,Science Fiction
Power Rangers,105000000,142300000,124,28.9015,6.256,4468,False,Dean Israelite,Dacre Montgomery,37300000,0.26212227687983136,Lionsgate,Action,Adventure,Science Fiction
Spider-Man: No Way Home,200000000,1921847111,148,28.8129,7.9,20802,True,Jon Watts,Tom Holland,1721847111,0.8959334492034939,Marvel Studios,Action,Adventure,Science Fiction
Escape Plan 2: Hades,20000000,17592626,93,28.7954,5.2,1472,True,Steven C. Miller,Sylvester Stallone,-2407374,-0.13683994646393324,Leomus Pictures,Action,Thriller,Crime
Transformers: The Last Knight,217000000,605425157,154,28.4962,6.1,6377,True,Michael Bay,Mark Wahlberg,388425157,0.641574193785938,Paramount Pictures,Action,Adventure,Science Fiction
Bad Boys: Ride or Die,100000000,404547819,115,28.1544,7.38,2925,True,Adil El Arbi,Will Smith,304547819,0.7528104335176258,Westbrook,Action,Comedy,Crime
Memoir of a Snail,4350000,7,94,27.7778,8.09,536,False,Adam Elliot,Sarah Snook,-4349993,-621427.5714285715,Arenamedia,Animation,Drama,Comedy
Coraline,60000000,185860104,100,27.728,7.893,8397,False,Henry Selick,Dakota Fanning,125860104,0.677176549949633,Laika,Animation,Family,Fantasy
The Final Destination,40000000,187384627,82,27.3469,5.6,3503,True,David R. Ellis,Bobby Campo,147384627,0.7865353170086893,Parallel Zide,Horror,Mystery,
Fast X,340000000,704709660,142,27.2193,7.039,5911,True,Louis Leterrier,Vin Diesel,364709660,0.5175318016784387,Universal Pictures,Action,Crime,Thriller
The Conjuring,13000000,320415166,112,27.1074,7.54,11881,True,James Wan,Patrick Wilson,307415166,0.9594276383284555,Evergreen Media Group,Horror,Thriller,
The Room,6000000,1752988,99,27.0137,4.012,1430,False,Tommy Wiseau,Tommy Wiseau,-4247012,-2.422727366074383,Chloe Productions,Drama,Romance,
The Hangover,35000000,469310836,100,26.9357,7.324,17273,True,Todd Phillips,Bradley Cooper,434310836,0.9254225615195469,Legendary Pictures,Comedy,,
Mulan,200000000,69965374,115,26.7883,6.9,6798,False,Niki Caro,Liu Yifei,-130034626,-1.8585568627132616,Walt Disney Pictures,Adventure,Fantasy,Action
Spider-Man: Across the Spider-Verse,100000000,690897910,140,26.6828,8.344,7611,True,Kemp Powers,Shameik Moore,590897910,0.8552608155957513,Columbia Pictures,Animation,Action,Adventure
Top Gun: Maverick,170000000,1488732821,131,26.6148,8.176,9893,True,Joseph Kosinski,Tom Cruise,1318732821,0.8858089258179926,Skydance Media,Action,Drama,
Final Destination 3,25000000,118890272,92,26.5897,6.1,4124,True,James Wong,Mary Elizabeth Winstead,93890272,0.789722072466955,New Line Cinema,Horror,Mystery,
Harry Potter and the Goblet of Fire,150000000,895921036,157,26.4716,7.801,21203,True,Mike Newell,Daniel Radcliffe,745921036,0.8325745305973595,Warner Bros. Pictures,Adventure,Fantasy,
Hunt for the Wilderpeople,2500000,23900000,101,26.185,7.6,2142,False,Taika Waititi,Sam Neill,21400000,0.895397489539749,Defender Films,Adventure,Comedy,Drama
Twilight,37000000,393616788,122,25.903,6.286,13810,True,Catherine Hardwicke,Kristen Stewart,356616788,0.9059999442909941,Summit Entertainment,Fantasy,Drama,Romance
Twilight,37000000,393616788,122,25.903,6.286,13810,True,Catherine Hardwicke,Kristen Stewart,356616788,0.9059999442909941,Summit Entertainment,Fantasy,Drama,Romance
Inception,160000000,839030630,148,25.8237,8.369,37524,False,Christopher Nolan,Leonardo DiCaprio,679030630,0.8093037437739311,Legendary Pictures,Action,Science Fiction,Adventure
Avatar: The Way of Water,460000000,2320250281,192,25.4821,7.611,12600,True,James Cameron,Sam Worthington,1860250281,0.801745525572463,20th Century Studios,Science Fiction,Adventure,Action
The Maze Runner,34000000,348319861,113,24.9184,7.191,17381,True,Wes Ball,Dylan O'Brien,314319861,0.9023885692237342,Ingenious Media,Action,Mystery,Science Fiction
28 Days Later,8000000,85032676,113,24.8025,7.238,7148,True,Danny Boyle,Cillian Murphy,77032676,0.9059185200757413,DNA Films,Horror,Thriller,Science Fiction
Life Itself,10000000,7997774,118,24.7513,7.2,581,False,Dan Fogelman,Oscar Isaac,-2002226,-0.25034790930576434,FilmNation Entertainment,Drama,Romance,
The Super Mario Bros. Movie,100000000,1362000000,93,24.6147,7.621,9728,True,Michael Jelenic,Chris Pratt,1262000000,0.9265785609397944,Universal Pictures,Family,Comedy,Adventure
The Dark Knight,185000000,1004558444,152,24.5769,8.52,33920,True,Christopher Nolan,Christian Bale,819558444,0.8158394853928479,Warner Bros. Pictures,Drama,Action,Crime
After,14000000,69497587,106,24.56,7.1,8346,True,Jenny Gage,Josephine Langford,55497587,0.7985541569954077,CalMaple Films,Romance,Drama,
Dune: Part Two,190000000,714444358,167,24.3891,8.147,6712,True,Denis Villeneuve,Timothée Chalamet,524444358,0.7340590658006148,Legendary Pictures,Science Fiction,Adventure,
Barbie,145000000,1445638421,114,24.3744,6.972,9936,False,Greta Gerwig,Margot Robbie,1300638421,0.8996982939207591,LuckyChap Entertainment,Comedy,Adventure,
Fast & Furious Presents: Hobbs & Shaw,200000000,760098996,137,24.2029,6.8,7393,False,David Leitch,Dwayne Johnson,560098996,0.7368763791920598,Chris Morgan Productions,Action,Adventure,Comedy
Dune,165000000,407573628,155,24.2006,7.782,13594,True,Denis Villeneuve,Timothée Chalamet,242573628,0.5951651709908964,Legendary Pictures,Science Fiction,Adventure,
Fifty Shades of Grey,40000000,569651467,125,23.7444,5.886,11998,True,Sam Taylor-Johnson,Dakota Johnson,529651467,0.9297816255777325,Universal Pictures,Drama,Romance,Thriller
Mission: Impossible - Ghost Protocol,145000000,694713380,133,23.5965,7.099,10181,True,Brad Bird,Tom Cruise,549713380,0.7912808300885179,Paramount Pictures,Action,Thriller,Adventure
Grown Ups,80000000,271430189,102,23.0008,6.394,6304,True,Dennis Dugan,Adam Sandler,191430189,0.7052649143607235,Columbia Pictures,Comedy,,
The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,179,22.9918,8.4,26013,True,Peter Jackson,Elijah Wood,778368364,0.8932713145872255,New Line Cinema,Adventure,Fantasy,Action
Deadpool,58000000,782837347,108,22.9357,7.6,31635,True,Tim Miller,Ryan Reynolds,724837347,0.9259105352826249,20th Century Fox,Action,Adventure,Comedy
The Lord of the Rings: The War of the Rohirrim,30000000,20658572,134,22.8254,6.653,606,False,Kenji Kamiyama,Brian Cox,-9341428,-0.452181690002581,New Line Cinema,Animation,Fantasy,Adventure
Spider-Man,139000000,821708551,121,22.8132,7.311,19630,True,Sam Raimi,Tobey Maguire,682708551,0.8308402658937403,Marvel Enterprises,Action,Science Fiction,
The Black Phone,16000000,161440742,103,22.4424,7.571,5141,True,Scott Derrickson,Mason Thames,145440742,0.9008924277615127,Blumhouse Productions,Horror,Thriller,
Harry Potter and the Order of the Phoenix,150000000,938212738,138,22.3731,7.674,19910,True,David Yates,Daniel Radcliffe,788212738,0.8401215482111691,Warner Bros. Pictures,Adventure,Fantasy,
Harry Potter and the Half-Blood Prince,250000000,933959197,153,22.3301,7.683,19890,True,David Yates,Daniel Radcliffe,683959197,0.7323223532644328,Warner Bros. Pictures,Adventure,Fantasy,
The Wolf of Wall Street,100000000,407038432,180,22.124,8.029,24665,False,Martin Scorsese,Leonardo DiCaprio,307038432,0.7543229529736396,Red Granite Pictures,Crime,Drama,Comedy
Godzilla x Kong: The New Empire,150000000,571750016,115,22.0919,7.09,4212,False,Adam Wingard,Rebecca Hall,421750016,0.7376475805817905,Legendary Pictures,Action,Adventure,Science Fiction
The King's Man,100000000,125897478,131,21.9753,6.747,4705,True,Matthew Vaughn,Ralph Fiennes,25897478,0.20570291328631699,Marv,Action,Adventure,Thriller
Conclave,20000000,115657988,120,21.9236,7.191,2577,False,Edward Berger,Ralph Fiennes,95657988,0.8270763624212449,FilmNation Entertainment,Drama,Thriller,
How to Train Your Dragon: The Hidden World,129000000,524580592,104,21.8562,7.749,6610,True,Dean DeBlois,Jay Baruchel,395580592,0.7540892629897371,DreamWorks Animation,Animation,Family,Adventure
Transformers: Rise of the Beasts,195000000,441381193,127,21.7611,7.233,4926,False,Steven Caple Jr.,Anthony Ramos,246381193,0.5582050094282109,Skydance Media,Science Fiction,Adventure,Action
Elevation,18000000,3300000,91,21.5953,6.5,725,False,George Nolfi,Anthony Mackie,-14700000,-4.454545454545454,Lyrical Media,Action,Science Fiction,Thriller
Avatar,237000000,2923706026,162,21.4526,7.59,32291,True,James Cameron,Sam Worthington,2686706026,0.9189384986409711,Dune Entertainment,Action,Adventure,Fantasy
Puss in Boots: The Last Wish,90000000,484700000,103,21.4238,8.216,8226,True,Joel Crawford,Antonio Banderas,394700000,0.814318134928822,DreamWorks Animation,Animation,Adventure,Fantasy
Prisoners,46000000,122126687,153,21.3388,8.099,12201,False,Denis Villeneuve,Hugh Jackman,76126687,0.6233419481853298,Alcon Entertainment,Drama,Thriller,Crime
Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,143,21.311,7.811,21160,True,Gore Verbinski,Johnny Depp,515011224,0.7862632045523543,Walt Disney Pictures,Adventure,Fantasy,Action
Jurassic World Dominion,465400000,1001978080,147,21.3008,6.661,6397,True,Colin Trevorrow,Chris Pratt,536578080,0.5355187810096604,Amblin Entertainment,Adventure,Action,Science Fiction
The Garfield Movie,60000000,254907482,100,21.142,7.063,1271,False,Mark Dindal,Chris Pratt,194907482,0.7646204829719356,Alcon Entertainment,Family,Comedy,Adventure
Gladiator,103000000,465516248,155,21.1115,8.221,19741,True,Ridley Scott,Russell Crowe,362516248,0.7787402685888635,Universal Pictures,Action,Drama,Adventure
Terrifier 3,2000000,90322103,125,20.814,6.8,1600,True,Damien Leone,Lauren LaVera,88322103,0.9778570257603502,Cineverse,Horror,Thriller,
"Monsters, Inc.",115000000,579700000,92,20.787,7.844,18883,True,Pete Docter,John Goodman,464700000,0.8016215283767466,Pixar,Animation,Comedy,Family
The Beekeeper,35000000,152720535,105,20.7716,7.307,3599,True,David Ayer,Jason Statham,117720535,0.7708232229542674,Miramax,Action,Crime,Thriller
Smile 2,28000000,138128854,127,20.6241,6.6,1570,True,Parker Finn,Naomi Scott,110128854,0.7972907239207241,Paramount Pictures,Horror,Mystery,
Scouts Guide to the Zombie Apocalypse,15000000,14900000,93,20.6215,6.5,1969,False,Christopher Landon,Tye Sheridan,-100000,-0.006711409395973154,Broken Road Productions,Comedy,Horror,
Kung Fu Panda,130000000,632091832,90,20.553,7.3,11944,True,Mark Osborne,Jack Black,502091832,0.7943336815654343,DreamWorks Animation,Action,Adventure,Animation
Nosferatu,50000000,180928503,133,20.5511,6.719,2694,False,Robert Eggers,Lily-Rose Depp,130928503,0.7236477438825656,Focus Features,Horror,Fantasy,
Coco,175000000,807816196,105,20.4954,8.204,19993,True,Lee Unkrich,Anthony Gonzalez,632816196,0.7833665617667314,Pixar,Family,Animation,Music
Mission: Impossible III,150000000,398479497,126,20.4877,6.747,7107,True,J.J. Abrams,Tom Cruise,248479497,0.6235690891770023,Paramount Pictures,Adventure,Action,Thriller
Mission: Impossible - Rogue Nation,150000000,682716636,131,20.4645,7.216,9114,True,Christopher McQuarrie,Tom Cruise,532716636,0.7802895197063866,Paramount Pictures,Action,Adventure,
The Lord of the Rings: The Return of the King,94000000,1118888979,201,20.3727,8.485,25125,True,Peter Jackson,Elijah Wood,1024888979,0.9159880901820913,New Line Cinema,Adventure,Fantasy,Action
Harry Potter and the Deathly Hallows: Part 2,125000000,1341511219,130,20.0856,8.086,21045,True,David Yates,Daniel Radcliffe,1216511219,0.9068215023254308,Warner Bros. Pictures,Fantasy,Adventure,
Harry Potter and the Deathly Hallows: Part 1,250000000,954305868,146,19.8162,7.741,19511,True,David Yates,Daniel Radcliffe,704305868,0.7380294846934756,Warner Bros. Pictures,Adventure,Fantasy,
London Fields,8000000,487420,118,19.794,5.075,274,False,Mathew Cullen,Amber Heard,-7512580,-15.412949817405933,Muse Productions,Crime,Thriller,
Zootopia,150000000,1023784195,109,19.7325,7.747,16713,True,Byron Howard,Jason Bateman,873784195,0.8534847473397458,Walt Disney Animation Studios,Animation,Adventure,Family
Mission: Impossible II,125000000,546388108,123,19.5939,6.1,7038,True,John Woo,Tom Cruise,421388108,0.7712248891039187,Paramount Pictures,Adventure,Action,Thriller
Furiosa: A Mad Max Saga,168000000,174287546,149,19.5803,7.5,4187,True,George Miller,Anya Taylor-Joy,6287546,0.036075704456817584,Warner Bros. Pictures,Action,Science Fiction,Adventure
Black Panther: Wakanda Forever,250000000,859102154,162,19.5719,7.059,6858,True,Ryan Coogler,Letitia Wright,609102154,0.7089985180039485,Marvel Studios,Action,Adventure,Science Fiction
Babygirl,20000000,60934894,115,19.5315,5.757,765,False,Halina Reijn,Nicole Kidman,40934894,0.6717808354602208,A24,Drama,,
Transformers One,75000000,128888103,104,19.5178,8.08,1260,False,Josh Cooley,Chris Hemsworth,53888103,0.4180999001901673,Paramount Animation,Animation,Science Fiction,Adventure
The Tomorrow War,200000000,14400000,138,19.5164,7.506,3698,True,Chris McKay,Chris Pratt,-185600000,-12.88888888888889,Skydance Media,Action,Science Fiction,Adventure
Casino Royale,150000000,599045960,144,19.4215,7.559,10995,True,Martin Campbell,Daniel Craig,449045960,0.7496018502486854,Metro-Goldwyn-Mayer,Adventure,Action,Thriller
